,Refreshing,Runner,Baker,Counter,Regulator,Has Python,Has Whiteboard,Has Reached Balmers Peak,DNE,Type of Activity Id,Type of Movie Id,Type of GPU Id,Type of Laptop Id,Type of Toaster Id,Type of Deck Id,Type of Whale Id,Type of Star Id,Type of Dog Id,labels
120,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.3,0.3,0.2,0.3,0.2,0.4,0.5,0.3,0.4,0.0
121,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.3,0.6,0.2,0.3,0.3,0.3,0.5,0.2,0.4,1.0
122,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.3,0.5,0.2,0.3,0.3,0.2,0.5,0.2,0.4,0.0
123,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.3,0.4,0.2,0.4,0.3,0.3,0.5,0.2,0.4,1.0
124,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.0
125,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3,0.3,0.3,0.5,0.2,0.2,0.2,0.4,0.3,0.0
126,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.3,0.4,0.2,0.3,0.2,0.4,0.5,0.2,0.4,0.0
127,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.3,0.4,0.2,0.4,0.2,0.3,0.5,0.3,0.4,1.0
128,0.0,1.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.4,0.1,0.3,0.3,0.1,0.3,0.5,0.1,0.4,1.0
129,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.3,0.3,0.3,0.4,0.2,0.2,0.1,0.3,0.1,1.0
130,0.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.2,0.2,0.3,0.4,0.2,0.2,0.3,0.3,0.4,0.0
131,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.3,0.6,0.2,0.4,0.3,0.2,0.5,0.2,0.4,1.0
132,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4,0.1,0.2,0.5,0.1,0.2,0.1,0.1,0.1,0.0
133,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.3,0.5,0.2,0.3,0.3,0.3,0.1,0.2,0.1,1.0
134,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4,0.1,0.2,0.5,0.1,0.2,0.1,0.1,0.1,0.0
135,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.3,0.2,0.3,0.5,0.3,0.3,0.4,0.3,0.4,0.0
136,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.3,0.5,0.2,0.5,0.3,0.3,0.1,0.2,0.1,1.0
137,0.0,1.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.3,0.6,0.2,0.5,0.2,0.3,0.5,0.6,0.4,0.0
138,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.3,0.2,0.2,0.3,0.2,0.2,0.5,0.2,0.4,0.0
139,1.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.3,0.4,0.4,0.4,0.4,0.4,0.1,0.2,0.1,0.0
140,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.4,0.1,0.3,0.3,0.1,0.2,0.5,0.1,0.4,0.0
141,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3,0.6,0.2,0.4,0.3,0.2,0.1,0.2,0.1,0.0
142,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.3,0.6,0.2,0.4,0.3,0.3,0.5,0.2,0.4,0.0
143,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3,0.3,0.5,0.5,0.3,0.2,0.4,0.2,0.4,1.0
144,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.3,0.5,0.2,0.3,0.3,0.3,0.5,0.2,0.4,0.0
145,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.3,0.6,0.2,0.3,0.2,0.3,0.1,0.6,0.1,0.0
146,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.4,0.1,0.2,0.3,0.1,0.4,0.5,0.1,0.4,1.0
147,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.3,0.6,0.2,0.4,0.3,0.3,0.5,0.2,0.4,1.0
148,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4,0.1,0.2,0.6,0.1,0.2,0.1,0.1,0.1,0.0
149,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.3,0.6,0.2,0.3,0.3,0.3,0.5,0.2,0.4,0.0
150,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.4,0.1,0.4,0.6,0.1,0.3,0.5,0.1,0.4,0.0
151,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3,0.3,0.3,0.5,0.3,0.3,0.5,0.2,0.4,0.0
152,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.3,0.2,0.4,0.3,0.3,0.2,0.1,0.2,0.1,0.0
153,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.3,0.6,0.2,0.3,0.2,0.2,0.1,0.2,0.1,0.0
154,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.3,0.6,0.2,0.3,0.2,0.3,0.5,0.5,0.4,0.0
155,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.3,0.6,0.2,0.5,0.4,0.2,0.5,0.2,0.4,0.0
156,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.1,0.1,0.1,0.1,0.1,0.3,0.1,0.1,0.1,0.0
157,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.3,0.4,0.2,0.3,0.3,0.2,0.5,0.2,0.4,0.0
158,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.3,0.2,0.2,0.4,0.3,0.4,0.1,0.2,0.1,0.0
159,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.3,0.5,0.2,0.4,0.3,0.2,0.5,0.2,0.4,0.0
160,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.3,0.5,0.2,0.4,0.3,0.2,0.5,0.2,0.4,0.0
161,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.3,0.2,0.3,0.4,0.3,0.3,0.3,0.2,0.4,0.0
162,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.4,0.1,0.4,0.4,0.1,0.3,0.5,0.1,0.4,0.0
163,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.2,0.3,0.4,0.6,0.2,0.3,0.1,0.5,0.1,0.0
164,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3,0.6,0.2,0.3,0.2,0.2,0.5,0.3,0.4,0.0
165,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.3,0.6,0.2,0.2,0.2,0.3,0.1,0.2,0.1,1.0
166,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3,0.6,0.2,0.4,0.3,0.3,0.5,0.2,0.4,0.0
167,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.4,0.1,0.2,0.3,0.1,0.3,0.5,0.1,0.4,0.0
168,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.3,0.4,0.2,0.4,0.3,0.2,0.5,0.2,0.4,0.0
169,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.1,0.1,0.1,0.1,0.1,0.2,0.1,0.1,0.1,1.0
